geoid_o,geoid_d,visitor_flows,pop_flows,lat_o,lng_o,lat_d,lng_d,county_o,county_d,pop_o,pop_d,eigen_centrality_o,eigen_centrality_d,scaled_sci
6013,6013,116561.6043956044,1984324.285714286,37.92341874155632,-121.95121244528308,37.92341874155632,-121.95121244528308,Contra Costa County,Contra Costa County,1165986.0,1165986.0,0.12488765582971975,0.12488765582971975,386187
6013,6021,12.824175824175825,224.1868131868132,37.92341874155632,-121.95121244528308,39.59840476989015,-122.39220680724118,Contra Costa County,Glenn County,1165986.0,28896.0,0.12488765582971975,0.0001331980874288246,11915
6013,6033,33.97802197802198,578.901098901099,37.92341874155632,-121.95121244528308,39.09964534019901,-122.75318391622451,Contra Costa County,Lake County,1165986.0,68195.0,0.12488765582971975,0.00032473769187069113,22333
6013,6041,805.8021978021978,13783.648351648353,37.92341874155632,-121.95121244528308,38.05518332680756,-122.74885854934313,Contra Costa County,Marin County,1165986.0,261282.0,0.12488765582971975,0.004477864609808402,53938
6013,6045,53.45054945054945,925.956043956044,37.92341874155632,-121.95121244528308,39.4336238311982,-123.43155391611874,Contra Costa County,Mendocino County,1165986.0,91361.0,0.12488765582971975,0.00057775175903098,15333
6013,6055,328.98901098901104,5599.758241758243,37.92341874155632,-121.95121244528308,38.5064736594468,-122.33053320427236,Contra Costa County,Napa County,1165986.0,137485.0,0.12488765582971975,0.0020453417864052205,48687
6013,6067,740.8241758241759,12627.417582417584,37.92341874155632,-121.95121244528308,38.44931480740672,-121.34424340677604,Contra Costa County,Sacramento County,1165986.0,1586465.0,0.12488765582971975,0.25574990517625434,28453
6013,6081,1997.7142857142858,34179.43956043956,37.92341874155632,-121.95121244528308,37.43620973176126,-122.3556631985105,Contra Costa County,San Mateo County,1165986.0,762511.0,0.12488765582971975,0.05845180422381311,45699
6013,6095,1518.2527472527474,25936.791208791212,37.92341874155632,-121.95121244528308,38.26691911759816,-121.9400068971127,Contra Costa County,Solano County,1165986.0,452698.0,0.12488765582971975,0.009541123396942344,100733
6013,6097,455.50549450549454,7784.45054945055,37.92341874155632,-121.95121244528308,38.525292574496746,-122.92254465472432,Contra Costa County,Sonoma County,1165986.0,488281.0,0.12488765582971975,0.005417711644735741,27143
